                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.066413,               0.029891,               0.015106,                      0,                0.22908,                0.31395,                0.17906,               0.053173,                 0.3289,                0.37597,                0.23801,               0.062232,               0.061081,               0.021638,              0.0090163,                      0,               0.067033,               0.000333,               0.000333
                      1,               0.052704,               0.027356,               0.014206,                      0,                0.35434,                0.24419,                0.26878,               0.083416,                0.31678,                 0.2907,                 0.1867,               0.046219,               0.060466,               0.020517,              0.0090763,                      0,               0.034011,             0.00064435,             0.00064435
                      2,               0.049283,               0.026804,               0.013959,                      0,                0.37471,                0.37209,                0.28695,               0.075956,                0.30408,                0.32946,                 0.1837,               0.038966,               0.053904,               0.020373,              0.0082478,                      0,             0.00096676,             0.00093369,             0.00093369
                      3,                0.04391,               0.025566,               0.013197,                      0,                0.66139,                0.53754,                0.54741,                0.21552,                0.53897,                0.47126,                0.36562,               0.095283,               0.047804,               0.020283,              0.0089247,                      0,               0.000901,               0.000901,               0.000901
                      4,               0.040774,               0.025695,               0.013028,                      0,                0.69592,                0.56589,                0.60121,                0.25985,                0.58839,                0.48837,                0.42649,                0.11368,                0.04421,               0.019683,              0.0072932,                      0,               0.000901,               0.000901,               0.000901
                      5,               0.038068,               0.024559,               0.012484,                      0,                0.72407,                0.46787,                0.51498,                0.22887,                0.52693,                0.43798,                0.36556,               0.098918,               0.044397,               0.019523,              0.0078827,                      0,               0.000868,               0.000868,               0.000868
                      6,               0.035677,               0.024147,               0.012043,                      0,                0.59298,                0.62791,                0.58968,                0.28032,                0.47118,                0.49612,                0.39069,                0.11384,               0.037141,               0.019485,               0.007082,                      0,               0.000835,               0.000835,               0.000835
                      7,               0.034336,               0.023523,               0.011986,                      0,                0.71804,                0.58527,                0.60666,                 0.3182,                0.55629,                0.48062,                0.40795,                0.12705,               0.037289,               0.020002,              0.0068367,                      0,               0.000802,               0.000802,               0.000802
                      8,               0.032672,                0.02381,               0.011486,                      0,                 0.6529,                0.56867,                0.56939,                0.29544,                 0.4891,                 0.4898,                 0.3791,                0.11513,               0.037035,               0.019419,              0.0071461,                      0,               0.000769,               0.000769,               0.000769
                      9,               0.032843,               0.023595,               0.011728,                      0,                0.75646,                0.65116,                0.64267,                0.35228,                0.60667,                0.55426,                0.45286,                0.13982,               0.035083,               0.019596,              0.0066122,                      0,               0.000736,               0.000736,               0.000736
                     10,               0.031415,               0.023967,                0.01152,                      0,                0.60435,                0.67442,                0.59703,                0.32003,                0.53127,                0.53101,                0.43595,                0.13213,               0.034086,               0.019229,              0.0068912,                      0,               0.000703,               0.000703,               0.000703
                     11,               0.031108,                0.02307,               0.011681,                      0,                0.74332,                0.65504,                 0.6567,                0.34987,                0.62553,                0.52713,                0.45123,                0.15314,               0.035949,               0.018918,              0.0064679,                      0,                0.00067,                0.00067,                0.00067
                     12,               0.030493,                0.02292,               0.011061,                      0,                0.81495,                 0.6828,                0.70171,                0.38678,                0.63326,                0.54212,                0.48871,                0.14989,               0.033173,               0.018905,              0.0063298,                      0,               0.000637,               0.000637,               0.000637
                     13,               0.029948,               0.022945,               0.010895,                      0,                0.81189,                0.66915,                0.67015,                0.38779,                0.68266,                0.56589,                0.48579,                0.15571,               0.034048,                0.01866,              0.0067506,                      0,               0.000604,               0.000604,               0.000604
                     14,               0.028997,                0.02259,               0.010728,                      0,                0.84513,                0.67682,                 0.6982,                 0.4101,                0.72823,                0.58162,                0.51725,                0.16223,               0.031289,               0.018517,              0.0061803,                      0,               0.000571,               0.000571,               0.000571
                     15,               0.028116,               0.022268,               0.010712,                      0,                0.78942,                0.63932,                 0.6848,                0.41733,                0.63972,                0.52713,                0.46894,                0.14934,               0.031061,                0.01879,              0.0059577,                      0,               0.000538,               0.000538,               0.000538
                     16,               0.028497,               0.022178,               0.010745,                      0,                 0.7766,                0.66023,                0.66511,                0.40545,                0.66916,                0.56977,                0.47774,                0.15584,               0.031879,               0.018544,              0.0060381,                      0,               0.000505,               0.000505,               0.000505
                     17,               0.027715,               0.022362,                0.01045,                      0,                0.82522,                0.69543,                0.72268,                0.44796,                0.71892,                0.58527,                0.53065,                0.16976,               0.029869,               0.018472,               0.005736,                      0,               0.000472,               0.000472,               0.000472
                     18,               0.027646,               0.022478,               0.010459,                      0,                0.76896,                0.67442,                 0.6708,                0.43094,                0.63065,                0.56915,                0.48646,                0.15611,               0.029724,               0.019017,              0.0058323,                      0,               0.000439,               0.000439,               0.000439
                     19,               0.026776,               0.022232,               0.010417,                      0,                0.77247,                0.69743,                0.70192,                0.44446,                0.65594,                 0.5542,                0.47836,                 0.1522,               0.030233,               0.018785,              0.0057332,                      0,               0.000406,               0.000406,               0.000406
                     20,                0.02579,               0.022342,               0.010346,                      0,                0.77757,                 0.7093,                0.73983,                0.47181,                0.68624,                0.61036,                0.54991,                0.16982,               0.028293,               0.018397,              0.0054759,                      0,               0.000373,               0.000373,               0.000373
                     21,               0.025742,               0.021956,               0.010177,                      0,                0.81562,                0.71318,                0.72762,                0.48583,                0.69034,                0.60487,                0.52085,                0.16675,               0.028307,               0.018532,              0.0057076,                      0,                0.00034,                0.00034,                0.00034
