                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.068566,               0.037026,               0.018333,                      0,                0.42691,                0.66667,                 0.5178,                0.21545,                0.34749,                0.54264,                 0.3417,               0.098565,               0.050528,               0.024215,              0.0081015,                      0,                0.07003,                0.00333,                0.00333
                      1,               0.049149,               0.024514,               0.014603,                      0,                0.64607,                0.45989,                0.52047,                0.24986,                0.48097,                0.40946,                 0.3841,                0.11443,               0.050335,               0.019919,              0.0069614,                      0,               0.040018,              0.0066513,              0.0066513
                      2,               0.049944,               0.024048,               0.012673,                      0,                0.62459,                0.50944,                0.52091,                0.22019,                0.64068,                0.54651,                0.44791,                0.13319,               0.052642,               0.019526,              0.0066193,                      0,              0.0099575,              0.0099244,              0.0099244
                      3,               0.048572,               0.025279,               0.012388,                      0,                0.60253,                0.51938,                0.49785,                0.22919,                0.49129,                0.44186,                0.35591,               0.084564,               0.046752,               0.022286,              0.0072925,                      0,              0.0098378,              0.0098378,              0.0098378
                      4,               0.045741,               0.025421,               0.012299,                      0,                0.64591,                0.59391,                0.57592,                0.27767,                0.51198,                0.47983,                0.35045,                 0.1047,               0.042006,               0.020769,              0.0070632,                      0,              0.0098378,              0.0098378,              0.0098378
                      5,               0.042081,               0.024347,               0.011915,                      0,                0.59366,                0.55039,                0.53252,                0.25285,                0.39504,                0.36822,                0.23778,               0.071761,               0.046889,               0.029033,              0.0066242,                      0,              0.0097131,              0.0097131,              0.0097131
                      6,               0.039903,               0.023828,               0.011473,                      0,                0.67314,                0.57472,                0.59878,                0.31699,                0.55595,                0.48041,                0.40192,                0.10584,               0.038877,               0.019668,              0.0066087,                      0,              0.0095544,              0.0095544,              0.0095544
                      7,               0.038135,               0.023202,               0.011598,                      0,                0.62633,                 0.5847,                0.60122,                0.34707,                0.51596,                0.51938,                0.41148,                0.12626,               0.038491,               0.019846,              0.0068655,                      0,               0.009363,               0.009363,               0.009363
                      8,               0.036676,               0.023971,               0.011255,                      0,                0.45998,                0.63178,                0.44945,                0.25501,                0.40181,                0.47674,                0.33342,               0.098223,               0.035179,               0.019442,              0.0074644,                      0,              0.0091406,              0.0091406,              0.0091406
                      9,               0.035559,               0.023405,                0.01129,                      0,                0.79841,                0.70617,                0.68167,                0.38812,                0.69452,                0.60853,                0.50554,                0.14986,               0.033544,               0.019059,              0.0061271,                      0,              0.0088888,              0.0088888,              0.0088888
                     10,               0.033232,               0.023012,               0.010961,                      0,                0.73219,                0.68992,                0.67032,                0.41345,                0.63745,                0.57928,                 0.4948,                0.14698,               0.033924,                0.01962,              0.0060549,                      0,              0.0086098,              0.0086098,              0.0086098
