                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     11,               0.032155,               0.022572,               0.011135,                      0,                0.71016,                0.68605,                0.68275,                0.41438,                0.61458,                0.57479,                0.50202,                 0.1562,               0.031922,               0.018809,              0.0059285,                      0,              0.0083057,              0.0083057,              0.0083057
                     12,                0.03085,               0.022525,               0.010343,                      0,                0.81176,                0.68992,                0.71108,                0.47968,                 0.6679,                 0.5814,                0.51844,                0.17637,               0.029539,               0.018218,              0.0056657,                      0,               0.007979,               0.007979,               0.007979
                     13,               0.030206,                0.02226,               0.010304,                      0,                0.83745,                0.70155,                0.72674,                0.45334,                0.68575,                0.56977,                0.51468,                0.16107,               0.028878,               0.019227,              0.0057263,                      0,              0.0076324,              0.0076324,              0.0076324
                     14,               0.028767,               0.022089,                0.01013,                      0,                0.81064,                0.67054,                0.71294,                0.43218,                0.69569,                0.56977,                0.52551,                0.16769,               0.029981,               0.018774,               0.005646,                      0,              0.0072686,              0.0072686,              0.0072686
                     15,               0.027738,               0.021602,              0.0099723,                      0,                0.80636,                0.73643,                0.73461,                0.48498,                0.67033,                0.60465,                 0.5072,                0.16653,               0.027388,               0.018347,              0.0055101,                      0,              0.0068906,              0.0068906,              0.0068906
                     16,               0.027266,               0.021542,              0.0099085,                      0,                0.81248,                0.70532,                0.72861,                0.50555,                0.73312,                0.60465,                0.56474,                 0.1867,               0.026759,               0.018716,              0.0054476,                      0,              0.0065013,              0.0065013,              0.0065013
                     17,               0.026637,               0.021728,              0.0096511,                      0,                0.84773,                0.71318,                0.75926,                0.51723,                0.75003,                0.59302,                0.58609,                0.19378,               0.026507,               0.018402,              0.0052195,                      0,               0.006104,               0.006104,               0.006104
                     18,               0.025895,               0.021886,              0.0096767,                      0,                0.86237,                0.70431,                0.76172,                0.50524,                0.74847,                0.61129,                0.60347,                0.19501,               0.025418,                0.01805,              0.0052867,                      0,              0.0057019,              0.0057019,              0.0057019
                     19,               0.025037,                0.02148,              0.0096444,                      0,                0.85188,                0.70155,                0.76392,                0.51965,                0.72012,                0.58839,                0.55495,                0.18303,                0.02509,               0.018295,              0.0054107,                      0,              0.0052981,              0.0052981,              0.0052981
                     20,               0.024339,               0.021107,              0.0095149,                      0,                0.80494,                0.73256,                0.76744,                 0.5294,                0.70208,                0.60285,                0.56481,                0.18648,               0.023834,               0.017841,              0.0050881,                      0,               0.004896,               0.004896,               0.004896
                     21,               0.023403,               0.021128,               0.009294,                      0,                0.83968,                0.71318,                0.78938,                0.53915,                0.72922,                0.62791,                0.60483,                0.19303,               0.023515,               0.018183,              0.0049028,                      0,              0.0044987,              0.0044987,              0.0044987
                     22,                 0.0226,               0.020771,              0.0092397,                      0,                0.83295,                0.68992,                0.77605,                 0.5261,                0.71913,                0.60078,                0.60149,                0.19798,               0.023484,               0.018407,              0.0050667,                      0,              0.0041094,              0.0041094,              0.0041094
                     23,               0.022082,               0.020673,              0.0090218,                      0,                0.79785,                0.74419,                0.77966,                 0.5508,                 0.6815,                0.63566,                0.60743,                0.19172,               0.023522,               0.018712,              0.0049212,                      0,              0.0037314,              0.0037314,              0.0037314
                     24,               0.022362,               0.020856,              0.0090513,                      0,                0.79173,                0.74031,                 0.7795,                0.56681,                0.72593,                0.63566,                0.64042,                0.21781,               0.022441,               0.017479,              0.0051266,                      0,              0.0033676,              0.0033676,              0.0033676
                     25,               0.021419,               0.020636,              0.0088708,                      0,                0.82233,                0.74031,                0.79192,                 0.5799,                0.75935,                0.62016,                0.63686,                0.21542,               0.021761,               0.017963,              0.0048545,                      0,               0.003021,               0.003021,               0.003021
                     26,               0.020958,                0.02047,              0.0088431,                      0,                0.80643,                0.72664,                 0.7895,                0.58063,                0.75074,                0.61872,                0.60963,                0.19761,               0.021622,               0.017906,              0.0048361,                      0,              0.0026943,              0.0026943,              0.0026943
                     27,               0.020771,               0.020338,              0.0088346,                      0,                0.82502,                0.73643,                 0.7983,                0.57004,                0.68173,                0.63178,                 0.6098,                0.21011,               0.020879,               0.017495,              0.0047841,                      0,              0.0023902,              0.0023902,              0.0023902
                     28,               0.020301,               0.020322,              0.0086287,                      0,                0.86081,                0.71912,                0.79616,                0.58812,                0.75517,                0.62403,                 0.6352,                0.22301,               0.021277,               0.017623,              0.0047834,                      0,              0.0021112,              0.0021112,              0.0021112
                     29,               0.019853,               0.020182,              0.0086622,                      0,                0.81733,                0.76306,                0.79578,                0.59488,                0.73463,                0.66667,                 0.6327,                0.21855,               0.019723,               0.017848,              0.0046731,                      0,              0.0018594,              0.0018594,              0.0018594
                     30,               0.019538,               0.020194,              0.0084446,                      0,                0.82227,                0.73256,                0.79844,                0.60489,                 0.7261,                0.64729,                0.64067,                0.21747,                0.02021,               0.017958,              0.0047228,                      0,               0.001637,               0.001637,               0.001637
                     31,                 0.0194,                0.02024,              0.0083695,                      0,                0.84666,                0.74902,                0.80498,                0.60856,                 0.7372,                0.65239,                0.63519,                0.22011,                0.02003,               0.017941,              0.0046743,                      0,              0.0014456,              0.0014456,              0.0014456
                     32,               0.018809,               0.020084,               0.008416,                      0,                0.80836,                0.73572,                0.78418,                0.59232,                0.75445,                0.63117,                 0.6669,                0.22029,               0.019732,               0.017584,              0.0046653,                      0,              0.0012869,              0.0012869,              0.0012869
                     33,               0.019175,               0.020072,              0.0083275,                      0,                0.79051,                0.75581,                 0.7927,                0.59923,                0.71526,                0.65891,                0.63586,                0.21939,               0.019761,               0.017632,              0.0046282,                      0,              0.0011622,              0.0011622,              0.0011622
                     34,                0.01882,               0.020263,              0.0082096,                      0,                0.81341,                0.76038,                 0.7954,                0.59416,                0.70549,                0.65921,                0.63214,                0.22483,               0.019879,               0.017849,              0.0045801,                      0,              0.0010723,              0.0010723,              0.0010723
                     36,                0.84574,                0.74806,                0.80511,                0.60866,                0.73571,                0.65116,                0.63529,                0.22071,               0.020027,                0.01794,              0.0046749,                      0
